ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5684573,HN474473,07/18/2007 05:26:52 PM,056XX S MAY ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0712,007,16,68,18,1169611,1867488,2007,04/15/2016 08:55:02 AM,41.791889876,-87.653601688,"(41.791889876, -87.653601688)"
5684574,HN491800,07/27/2007 08:55:00 AM,022XX N SHEFFIELD AVE,1330,CRIMINAL TRESPASS,TO LAND,COLLEGE/UNIVERSITY RESIDENCE HALL,false,false,1811,018,32,7,26,1169256,1915139,2007,04/15/2016 08:55:02 AM,41.922655899,-87.653519985,"(41.922655899, -87.653519985)"
5684577,HN490772,07/26/2007 04:20:00 PM,059XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0234,002,20,40,03,1182584,1866004,2007,04/15/2016 08:55:02 AM,41.787526333,-87.606078402,"(41.787526333, -87.606078402)"
5684578,HN492815,07/27/2007 06:09:57 PM,040XX N DRAKE AVE,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,true,false,1723,017,33,16,18,1152005,1926553,2007,04/15/2016 08:55:02 AM,41.954334596,-87.716604161,"(41.954334596, -87.716604161)"
5684579,HN492194,07/27/2007 01:03:55 PM,003XX E 51ST ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0232,002,3,40,06,1179102,1871273,2007,04/15/2016 08:55:02 AM,41.802065071,-87.618684697,"(41.802065071, -87.618684697)"
5684580,HN480147,07/21/2007 11:45:00 AM,133XX S LANGLEY AVE,1330,CRIMINAL TRESPASS,TO LAND,CONSTRUCTION SITE,true,false,0533,005,9,54,26,1183326,1817142,2007,04/15/2016 08:55:02 AM,41.653425905,-87.604873764,"(41.653425905, -87.604873764)"
5684581,HN490182,07/20/2007 12:00:00 PM,082XX S DREXEL AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,false,false,0631,006,8,44,06,1183668,1850583,2007,04/15/2016 08:55:02 AM,41.74518439,-87.602584248,"(41.74518439, -87.602584248)"
5684583,HN490515,07/26/2007 04:50:00 PM,062XX S EBERHART AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0313,003,20,42,08A,1180652,1863784,2007,04/15/2016 08:55:02 AM,41.78147907,-87.613230324,"(41.78147907, -87.613230324)"
5684585,HN479966,07/19/2007 10:00:00 AM,101XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,0511,005,9,49,14,1176082,1837503,2007,04/15/2016 08:55:02 AM,41.709464562,-87.630771572,"(41.709464562, -87.630771572)"
5684586,HN493947,07/27/2007 09:00:00 PM,046XX W WRIGHTWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2521,025,31,19,14,1144901,1917118,2007,04/15/2016 08:55:02 AM,41.928581419,-87.742958591,"(41.928581419, -87.742958591)"
